@relation 'Telco_Cusomer_Churn-weka.filters.unsupervised.attribute.Remove-R1-2,7-8-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-8,10-11,13,15-16'

@attribute tenure numeric
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute Churn {No,Yes}

@data
2,No,No,Month-to-month,'Electronic check',No
8,'No internet service','No internet service','One year','Bank transfer (automatic)',No
5,No,No,Month-to-month,'Mailed check',Yes
35,No,No,Month-to-month,'Electronic check',No
24,'No internet service','No internet service','One year','Electronic check',No
2,No,No,Month-to-month,'Electronic check',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
41,Yes,Yes,Month-to-month,'Electronic check',No
4,Yes,No,Month-to-month,'Electronic check',Yes
26,No,No,'One year','Bank transfer (automatic)',No
7,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
4,No,Yes,Month-to-month,'Mailed check',No
48,No,Yes,'Two year','Credit card (automatic)',No
2,No,No,Month-to-month,'Electronic check',Yes
12,Yes,Yes,'One year','Electronic check',No
60,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
55,Yes,Yes,'Two year','Electronic check',No
1,No,Yes,Month-to-month,'Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
4,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Mailed check',Yes
42,No,Yes,'Two year','Credit card (automatic)',No
1,Yes,No,Month-to-month,'Bank transfer (automatic)',No
7,No,No,Month-to-month,'Credit card (automatic)',Yes
3,No,No,Month-to-month,'Credit card (automatic)',No
72,Yes,No,'Two year','Credit card (automatic)',No
15,No,No,Month-to-month,'Electronic check',No
4,No,No,Month-to-month,'Electronic check',Yes
11,'No internet service','No internet service','One year','Electronic check',No
5,'No internet service','No internet service',Month-to-month,'Mailed check',No
1,Yes,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
55,No,No,Month-to-month,'Credit card (automatic)',No
40,'No internet service','No internet service',Month-to-month,'Electronic check',No
57,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
1,Yes,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Mailed check',Yes
52,No,No,'One year','Electronic check',No
41,No,No,Month-to-month,'Electronic check',Yes
43,No,No,'One year','Mailed check',No
47,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
3,No,No,Month-to-month,'Bank transfer (automatic)',No
66,Yes,Yes,'Two year','Credit card (automatic)',Yes
55,No,Yes,'Two year','Credit card (automatic)',No
29,'No internet service','No internet service','One year','Mailed check',No
12,No,No,Month-to-month,'Electronic check',No
66,No,No,Month-to-month,'Electronic check',No
35,No,No,Month-to-month,'Electronic check',Yes
10,No,No,Month-to-month,'Electronic check',Yes
27,No,No,Month-to-month,'Bank transfer (automatic)',No
58,No,Yes,Month-to-month,'Electronic check',No
54,Yes,Yes,'Two year','Bank transfer (automatic)',Yes
9,'No internet service','No internet service',Month-to-month,'Mailed check',No
2,'No internet service','No internet service','One year','Credit card (automatic)',Yes
6,No,No,Month-to-month,'Electronic check',No
26,No,No,Month-to-month,'Electronic check',Yes
9,'No internet service','No internet service',Month-to-month,'Mailed check',No
8,No,No,Month-to-month,'Mailed check',No
12,No,No,Month-to-month,'Electronic check',No
15,No,No,Month-to-month,'Electronic check',Yes
43,Yes,No,'One year','Electronic check',No
42,No,Yes,Month-to-month,'Electronic check',No
31,Yes,Yes,Month-to-month,'Credit card (automatic)',Yes
66,Yes,Yes,'Two year','Credit card (automatic)',No
18,No,Yes,Month-to-month,'Electronic check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
61,No,Yes,'Two year','Electronic check',Yes
10,No,No,Month-to-month,'Electronic check',No
1,No,No,Month-to-month,'Electronic check',Yes
18,No,No,Month-to-month,'Electronic check',No
24,No,No,Month-to-month,'Electronic check',Yes
3,'No internet service','No internet service',Month-to-month,'Mailed check',No
50,'No internet service','No internet service','One year','Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',No
2,Yes,Yes,Month-to-month,'Mailed check',No
17,'No internet service','No internet service','One year','Bank transfer (automatic)',No
69,No,No,'Two year','Electronic check',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
3,No,No,Month-to-month,'Electronic check',Yes
50,Yes,No,'Two year','Bank transfer (automatic)',No
53,'No internet service','No internet service','Two year','Mailed check',No
58,Yes,Yes,'Two year','Credit card (automatic)',No
46,Yes,No,'One year','Bank transfer (automatic)',No
72,Yes,Yes,Month-to-month,'Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
6,No,No,Month-to-month,'Mailed check',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
4,No,No,Month-to-month,'Mailed check',No
52,'No internet service','No internet service','Two year','Mailed check',No
0,'No internet service','No internet service','Two year','Mailed check',No
2,'No internet service','No internet service','One year','Mailed check',No
65,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
43,No,No,Month-to-month,'Electronic check',Yes
4,No,No,Month-to-month,'Electronic check',Yes
25,Yes,No,'One year','Electronic check',Yes
51,No,Yes,'One year','Credit card (automatic)',No
12,No,No,Month-to-month,'Bank transfer (automatic)',No
57,Yes,No,'One year','Bank transfer (automatic)',Yes
24,'No internet service','No internet service','One year','Mailed check',No
64,No,Yes,'One year','Bank transfer (automatic)',No
4,No,Yes,'One year','Electronic check',Yes
26,No,No,Month-to-month,'Bank transfer (automatic)',No
15,'No internet service','No internet service',Month-to-month,'Mailed check',No
64,'No internet service','No internet service','Two year','Credit card (automatic)',No
36,No,No,Month-to-month,'Electronic check',Yes
27,No,No,Month-to-month,'Credit card (automatic)',No
1,No,No,Month-to-month,'Mailed check',Yes
35,Yes,Yes,'One year','Credit card (automatic)',Yes
4,No,No,Month-to-month,'Electronic check',Yes
8,No,No,Month-to-month,'Electronic check',No
10,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
2,No,No,Month-to-month,'Mailed check',No
58,Yes,No,'Two year','Bank transfer (automatic)',Yes
51,Yes,Yes,'Two year','Credit card (automatic)',No
46,'No internet service','No internet service','Two year','Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
46,No,No,Month-to-month,'Bank transfer (automatic)',No
50,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
53,No,Yes,Month-to-month,'Credit card (automatic)',No
61,No,Yes,Month-to-month,'Electronic check',No
5,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
47,Yes,Yes,'One year','Bank transfer (automatic)',No
54,No,No,'One year','Bank transfer (automatic)',No
19,No,No,Month-to-month,'Credit card (automatic)',No
26,No,Yes,'Two year','Electronic check',No
70,'No internet service','No internet service','Two year','Mailed check',No
17,No,No,Month-to-month,'Electronic check',No
30,No,No,Month-to-month,'Electronic check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
19,'No internet service','No internet service','Two year','Mailed check',No
26,No,No,'Two year','Credit card (automatic)',No
21,No,No,Month-to-month,'Bank transfer (automatic)',Yes
50,No,No,'One year','Electronic check',No
68,Yes,No,'One year','Electronic check',No
3,No,No,Month-to-month,'Bank transfer (automatic)',Yes
9,No,Yes,Month-to-month,'Electronic check',No
51,Yes,Yes,'Two year','Bank transfer (automatic)',No
9,No,No,Month-to-month,'Electronic check',No
41,No,Yes,'One year','Electronic check',Yes
22,No,No,Month-to-month,'Electronic check',No
21,Yes,No,'One year','Electronic check',Yes
71,Yes,Yes,'Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
26,No,Yes,'One year','Credit card (automatic)',No
71,Yes,Yes,'Two year','Bank transfer (automatic)',No
4,No,No,Month-to-month,'Credit card (automatic)',No
12,Yes,No,Month-to-month,'Electronic check',No
18,No,Yes,Month-to-month,'Electronic check',No
3,No,No,Month-to-month,'Electronic check',No
72,Yes,No,'One year','Bank transfer (automatic)',No
11,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Credit card (automatic)',Yes
13,'No internet service','No internet service','One year','Credit card (automatic)',No
72,No,Yes,'One year','Electronic check',Yes
42,Yes,No,'One year','Credit card (automatic)',No
17,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
7,No,No,Month-to-month,'Mailed check',No
68,Yes,Yes,'Two year','Mailed check',No
56,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
38,'No internet service','No internet service','One year','Mailed check',No
72,Yes,Yes,'Two year','Electronic check',No
48,'No internet service','No internet service','One year','Credit card (automatic)',No
52,Yes,No,Month-to-month,'Electronic check',No
35,'No internet service','No internet service','One year','Mailed check',No
67,No,Yes,'Two year','Bank transfer (automatic)',No
1,Yes,No,Month-to-month,'Mailed check',No
53,No,Yes,Month-to-month,'Mailed check',No
34,'No internet service','No internet service',Month-to-month,'Mailed check',No
3,No,No,Month-to-month,'Credit card (automatic)',Yes
1,No,No,Month-to-month,'Electronic check',Yes
19,No,Yes,Month-to-month,'Mailed check',No
60,Yes,Yes,'Two year','Bank transfer (automatic)',No
11,'No internet service','No internet service','Two year','Credit card (automatic)',No
47,No,No,Month-to-month,'Electronic check',Yes
18,Yes,No,Month-to-month,'Electronic check',Yes
60,Yes,Yes,'Two year','Credit card (automatic)',No
72,'No internet service','No internet service','Two year','Credit card (automatic)',No
39,'No internet service','No internet service','One year','Mailed check',No
59,Yes,No,'One year','Credit card (automatic)',No
2,No,No,Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
20,No,No,Month-to-month,'Electronic check',Yes
6,No,No,Month-to-month,'Bank transfer (automatic)',Yes
71,No,Yes,'Two year','Credit card (automatic)',No
24,Yes,No,Month-to-month,'Mailed check',No
67,No,No,Month-to-month,'Credit card (automatic)',No
1,No,No,Month-to-month,'Mailed check',Yes
48,No,No,'One year','Mailed check',Yes
37,No,Yes,'One year','Mailed check',No
11,No,No,Month-to-month,'Mailed check',No
3,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',Yes
18,No,No,Month-to-month,'Credit card (automatic)',No
50,No,No,'One year','Bank transfer (automatic)',No
67,Yes,Yes,'One year','Electronic check',No
25,Yes,Yes,Month-to-month,'Mailed check',No
2,No,No,Month-to-month,'Electronic check',Yes
9,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
10,Yes,Yes,'One year','Mailed check',No
70,'No internet service','No internet service','Two year','Credit card (automatic)',No
9,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
4,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
2,Yes,No,Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
19,No,No,Month-to-month,'Bank transfer (automatic)',No
7,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',No
9,'No internet service','No internet service','One year','Mailed check',No
3,Yes,Yes,Month-to-month,'Mailed check',Yes
9,Yes,Yes,Month-to-month,'Mailed check',Yes
5,Yes,No,Month-to-month,'Credit card (automatic)',No
56,No,No,'One year','Bank transfer (automatic)',No
18,Yes,No,Month-to-month,'Mailed check',No
49,No,No,Month-to-month,'Electronic check',Yes
70,Yes,Yes,'Two year','Mailed check',No
72,No,Yes,'Two year','Credit card (automatic)',No
6,No,No,Month-to-month,'Electronic check',Yes
17,No,No,Month-to-month,'Electronic check',No
29,No,No,Month-to-month,'Electronic check',No
6,No,No,Month-to-month,'Electronic check',Yes
63,No,No,'Two year','Electronic check',No
16,No,No,Month-to-month,'Bank transfer (automatic)',Yes
59,No,No,'One year','Bank transfer (automatic)',No
3,No,No,Month-to-month,'Electronic check',No
8,No,No,Month-to-month,'Mailed check',No
7,No,No,Month-to-month,'Electronic check',Yes
68,'No internet service','No internet service','Two year','Credit card (automatic)',No
68,Yes,Yes,'Two year','Credit card (automatic)',No
52,No,No,'One year','Electronic check',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
32,'No internet service','No internet service','One year','Mailed check',No
72,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Credit card (automatic)',No
42,Yes,Yes,'One year','Credit card (automatic)',No
25,'No internet service','No internet service','Two year','Credit card (automatic)',Yes
45,Yes,No,Month-to-month,'Bank transfer (automatic)',No
43,Yes,Yes,'One year','Credit card (automatic)',No
37,Yes,No,'One year','Mailed check',No
20,No,No,Month-to-month,'Credit card (automatic)',Yes
4,No,No,Month-to-month,'Electronic check',Yes
63,Yes,Yes,'Two year','Credit card (automatic)',No
3,No,No,Month-to-month,'Mailed check',No
66,'No internet service','No internet service','Two year','Credit card (automatic)',No
28,No,No,Month-to-month,'Electronic check',Yes
8,No,No,Month-to-month,'Electronic check',No
71,'No internet service','No internet service','Two year','Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
72,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
16,Yes,No,Month-to-month,'Bank transfer (automatic)',No
66,Yes,Yes,'Two year','Mailed check',No
11,No,No,Month-to-month,'Electronic check',Yes
51,Yes,Yes,'One year','Credit card (automatic)',No
8,Yes,No,Month-to-month,'Electronic check',No
14,No,No,Month-to-month,'Electronic check',No
4,No,Yes,Month-to-month,'Electronic check',Yes
70,Yes,No,'Two year','Mailed check',No
70,Yes,Yes,'Two year','Electronic check',No
54,No,No,'One year','Credit card (automatic)',Yes
28,Yes,No,Month-to-month,'Bank transfer (automatic)',Yes
24,'No internet service','No internet service','Two year','Mailed check',No
69,No,No,'Two year','Credit card (automatic)',No
42,Yes,No,Month-to-month,'Mailed check',No
2,No,No,Month-to-month,'Electronic check',Yes
39,No,No,Month-to-month,'Electronic check',No
45,No,Yes,'Two year','Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
38,'No internet service','No internet service','Two year','Mailed check',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
72,'No internet service','No internet service','Two year','Credit card (automatic)',No
55,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
51,No,Yes,'One year','Electronic check',No
63,Yes,Yes,'Two year','Bank transfer (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
23,'No internet service','No internet service','Two year','Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
2,No,Yes,Month-to-month,'Mailed check',No
52,Yes,No,Month-to-month,'Credit card (automatic)',No
36,Yes,No,'One year','Mailed check',No
1,No,No,Month-to-month,'Mailed check',No
28,Yes,No,'One year','Mailed check',No
7,Yes,No,'One year','Electronic check',No
14,No,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
10,'No internet service','No internet service',Month-to-month,'Mailed check',No
42,'No internet service','No internet service','One year','Bank transfer (automatic)',No
7,No,No,Month-to-month,'Bank transfer (automatic)',No
4,No,No,Month-to-month,'Bank transfer (automatic)',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
20,No,No,Month-to-month,'Electronic check',Yes
63,Yes,Yes,'Two year','Credit card (automatic)',No
56,Yes,Yes,'Two year','Bank transfer (automatic)',No
5,No,Yes,Month-to-month,'Mailed check',No
72,No,Yes,'Two year','Bank transfer (automatic)',No
68,No,No,Month-to-month,'Electronic check',No
67,Yes,Yes,'One year','Mailed check',No
8,No,No,Month-to-month,'Bank transfer (automatic)',No
52,No,Yes,Month-to-month,'Bank transfer (automatic)',No
18,'No internet service','No internet service',Month-to-month,'Mailed check',No
59,'No internet service','No internet service','Two year','Mailed check',No
60,'No internet service','No internet service','Two year','Mailed check',No
7,No,No,Month-to-month,'Electronic check',No
59,Yes,No,'One year','Mailed check',No
46,Yes,Yes,'Two year','Bank transfer (automatic)',No
5,No,No,Month-to-month,'Electronic check',No
59,Yes,Yes,'Two year','Credit card (automatic)',No
70,No,Yes,'Two year','Bank transfer (automatic)',No
14,No,No,Month-to-month,'Credit card (automatic)',Yes
44,No,No,Month-to-month,'Mailed check',No
64,Yes,No,'Two year','Credit card (automatic)',No
58,Yes,Yes,'Two year','Mailed check',No
46,No,Yes,'One year','Electronic check',No
58,No,No,Month-to-month,'Electronic check',No
72,No,No,'Two year','Credit card (automatic)',No
30,No,No,Month-to-month,'Electronic check',Yes
11,Yes,No,Month-to-month,'Bank transfer (automatic)',No
34,No,No,Month-to-month,'Electronic check',No
54,Yes,No,'Two year','Bank transfer (automatic)',No
3,No,No,Month-to-month,'Electronic check',Yes
72,'No internet service','No internet service','Two year','Mailed check',No
40,No,Yes,Month-to-month,'Electronic check',Yes
2,No,No,Month-to-month,'Mailed check',Yes
54,No,No,'Two year','Credit card (automatic)',No
14,Yes,No,Month-to-month,'Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
10,No,No,Month-to-month,'Electronic check',Yes
1,Yes,No,Month-to-month,'Electronic check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
56,Yes,Yes,'One year','Bank transfer (automatic)',No
68,Yes,Yes,'Two year','Bank transfer (automatic)',No
14,'No internet service','No internet service','One year','Mailed check',No
68,Yes,Yes,'Two year','Electronic check',No
55,No,No,Month-to-month,'Electronic check',No
16,Yes,No,Month-to-month,'Electronic check',No
9,No,No,Month-to-month,'Electronic check',No
14,Yes,No,Month-to-month,'Electronic check',Yes
58,No,No,Month-to-month,'Electronic check',Yes
53,Yes,No,Month-to-month,'Bank transfer (automatic)',No
70,Yes,No,'Two year','Credit card (automatic)',No
14,No,No,Month-to-month,'Electronic check',No
22,Yes,Yes,'One year','Bank transfer (automatic)',Yes
10,Yes,No,Month-to-month,'Credit card (automatic)',No
29,'No internet service','No internet service','Two year','Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
49,Yes,Yes,'One year','Electronic check',Yes
68,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
30,No,Yes,'One year','Credit card (automatic)',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
10,'No internet service','No internet service',Month-to-month,'Mailed check',No
7,No,No,Month-to-month,'Electronic check',Yes
9,No,No,Month-to-month,'Electronic check',Yes
1,Yes,No,Month-to-month,'Mailed check',No
20,No,Yes,Month-to-month,'Credit card (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
29,No,No,Month-to-month,'Credit card (automatic)',No
1,No,Yes,Month-to-month,'Electronic check',No
3,Yes,Yes,Month-to-month,'Mailed check',No
20,Yes,No,Month-to-month,'Bank transfer (automatic)',No
64,No,Yes,Month-to-month,'Credit card (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
6,Yes,No,Month-to-month,'Bank transfer (automatic)',No
50,'No internet service','No internet service','Two year','Electronic check',No
6,Yes,No,Month-to-month,'Bank transfer (automatic)',No
7,No,No,Month-to-month,'Electronic check',No
72,No,No,'Two year','Credit card (automatic)',No
8,No,No,Month-to-month,'Bank transfer (automatic)',No
67,Yes,Yes,'Two year','Credit card (automatic)',No
24,No,No,Month-to-month,'Electronic check',Yes
72,Yes,No,'Two year','Credit card (automatic)',No
33,'No internet service','No internet service','One year','Bank transfer (automatic)',No
2,No,No,Month-to-month,'Electronic check',Yes
70,Yes,Yes,'Two year','Mailed check',No
22,No,No,'One year','Bank transfer (automatic)',No
59,Yes,No,Month-to-month,'Bank transfer (automatic)',No
36,'No internet service','No internet service','One year','Credit card (automatic)',No
51,'No internet service','No internet service','Two year','Mailed check',No
53,Yes,Yes,'One year','Bank transfer (automatic)',No
20,'No internet service','No internet service','One year','Bank transfer (automatic)',No
63,Yes,No,'Two year','Credit card (automatic)',No
40,No,No,Month-to-month,'Credit card (automatic)',No
35,'No internet service','No internet service','One year','Mailed check',No
26,No,No,'One year','Bank transfer (automatic)',No
27,No,No,Month-to-month,'Electronic check',Yes
53,Yes,Yes,'One year','Credit card (automatic)',No
34,No,No,Month-to-month,'Credit card (automatic)',No
19,No,No,Month-to-month,'Electronic check',No
43,Yes,No,Month-to-month,'Credit card (automatic)',No
6,'No internet service','No internet service',Month-to-month,'Mailed check',No
56,'No internet service','No internet service','Two year','Mailed check',No
57,No,No,Month-to-month,'Electronic check',Yes
34,No,No,Month-to-month,'Mailed check',No
10,No,Yes,Month-to-month,'Electronic check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
13,No,No,Month-to-month,'Electronic check',Yes
56,No,No,Month-to-month,'Electronic check',No
55,No,No,Month-to-month,'Credit card (automatic)',No
36,Yes,Yes,'Two year','Credit card (automatic)',No
47,'No internet service','No internet service','One year','Bank transfer (automatic)',No
12,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
24,No,No,Month-to-month,'Electronic check',No
63,No,No,'One year','Bank transfer (automatic)',Yes
35,No,No,Month-to-month,'Electronic check',No
67,Yes,Yes,'One year','Credit card (automatic)',No
25,No,No,Month-to-month,'Electronic check',Yes
21,Yes,No,Month-to-month,'Mailed check',No
13,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
35,No,No,Month-to-month,'Electronic check',Yes
71,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
29,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
71,No,No,'Two year','Electronic check',Yes
7,No,No,Month-to-month,'Electronic check',No
57,No,No,Month-to-month,'Electronic check',No
65,Yes,Yes,'Two year','Bank transfer (automatic)',No
27,'No internet service','No internet service','One year','Mailed check',No
6,No,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
11,No,No,Month-to-month,'Credit card (automatic)',No
39,'No internet service','No internet service','Two year','Mailed check',No
59,Yes,No,Month-to-month,'Electronic check',No
26,Yes,Yes,'One year','Bank transfer (automatic)',No
2,No,No,Month-to-month,'Mailed check',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
65,Yes,No,'One year','Credit card (automatic)',No
72,No,Yes,'Two year','Credit card (automatic)',No
6,No,Yes,Month-to-month,'Bank transfer (automatic)',No
32,'No internet service','No internet service','One year','Credit card (automatic)',No
50,No,No,'One year','Bank transfer (automatic)',No
61,Yes,Yes,'Two year','Mailed check',No
15,No,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
9,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
12,No,No,Month-to-month,'Electronic check',No
37,No,Yes,Month-to-month,'Credit card (automatic)',Yes
61,'No internet service','No internet service','One year','Mailed check',No
18,'No internet service','No internet service','One year','Bank transfer (automatic)',No
21,No,No,Month-to-month,'Mailed check',No
68,Yes,Yes,'Two year','Mailed check',No
12,No,No,Month-to-month,'Credit card (automatic)',No
2,No,No,Month-to-month,'Electronic check',Yes
62,No,No,Month-to-month,'Electronic check',No
29,No,Yes,Month-to-month,'Electronic check',Yes
1,No,Yes,Month-to-month,'Mailed check',No
5,No,No,Month-to-month,'Bank transfer (automatic)',Yes
1,'No internet service','No internet service',Month-to-month,'Electronic check',No
62,No,Yes,'Two year','Electronic check',No
36,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
28,No,Yes,Month-to-month,'Electronic check',Yes
69,Yes,Yes,'One year','Credit card (automatic)',No
11,Yes,Yes,Month-to-month,'Credit card (automatic)',Yes
63,No,Yes,Month-to-month,'Electronic check',No
23,'No internet service','No internet service','One year','Bank transfer (automatic)',No
10,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
71,'No internet service','No internet service','Two year','Credit card (automatic)',No
45,Yes,Yes,Month-to-month,'Electronic check',No
70,'No internet service','No internet service','Two year','Mailed check',No
22,No,No,Month-to-month,'Electronic check',No
52,'No internet service','No internet service','Two year','Mailed check',No
55,No,Yes,'One year','Electronic check',Yes
65,Yes,Yes,'Two year','Credit card (automatic)',No
72,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
10,'No internet service','No internet service','One year','Bank transfer (automatic)',No
7,'No internet service','No internet service','One year','Mailed check',No
5,No,No,Month-to-month,'Electronic check',No
24,Yes,No,'Two year','Credit card (automatic)',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
21,Yes,Yes,Month-to-month,'Mailed check',No
69,No,Yes,'One year','Credit card (automatic)',No
44,No,Yes,Month-to-month,'Bank transfer (automatic)',No
61,No,No,'One year','Electronic check',No
24,No,No,Month-to-month,'Credit card (automatic)',Yes
1,No,No,Month-to-month,'Electronic check',Yes
6,No,Yes,Month-to-month,'Bank transfer (automatic)',Yes
4,No,No,Month-to-month,'Electronic check',Yes
72,No,Yes,'Two year','Electronic check',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
14,No,No,Month-to-month,'Electronic check',No
7,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
48,No,No,'One year','Electronic check',No
55,'No internet service','No internet service','One year','Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
45,Yes,Yes,'One year','Credit card (automatic)',No
3,No,No,Month-to-month,'Mailed check',No
71,'No internet service','No internet service','Two year','Mailed check',No
8,'No internet service','No internet service',Month-to-month,'Mailed check',No
3,No,No,Month-to-month,'Electronic check',Yes
69,Yes,Yes,'Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
11,Yes,No,Month-to-month,'Electronic check',Yes
71,Yes,Yes,'Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Mailed check',Yes
33,Yes,Yes,'Two year','Bank transfer (automatic)',No
16,'No internet service','No internet service','One year','Mailed check',No
56,Yes,Yes,'One year','Electronic check',No
1,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
5,No,No,Month-to-month,'Electronic check',Yes
57,'No internet service','No internet service','One year','Mailed check',No
56,No,No,'One year','Credit card (automatic)',No
8,No,No,Month-to-month,'Electronic check',Yes
22,Yes,No,Month-to-month,'Mailed check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
40,Yes,Yes,Month-to-month,'Credit card (automatic)',No
46,'No internet service','No internet service','Two year','Credit card (automatic)',No
63,'No internet service','No internet service','Two year','Mailed check',No
68,Yes,No,'Two year','Electronic check',No
69,Yes,Yes,'Two year','Credit card (automatic)',No
56,No,Yes,Month-to-month,'Electronic check',No
10,No,No,'One year','Mailed check',No
63,Yes,Yes,'One year','Credit card (automatic)',No
24,Yes,Yes,'Two year','Mailed check',No
19,No,No,Month-to-month,'Mailed check',No
22,No,No,Month-to-month,'Electronic check',No
29,Yes,No,Month-to-month,'Electronic check',Yes
13,No,No,'One year','Mailed check',Yes
70,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
49,No,No,Month-to-month,'Electronic check',No
43,Yes,Yes,'One year','Mailed check',Yes
3,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
42,No,Yes,'One year','Electronic check',No
57,No,Yes,'One year','Mailed check',No
2,Yes,No,Month-to-month,'Bank transfer (automatic)',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
46,No,No,Month-to-month,'Electronic check',No
66,No,Yes,Month-to-month,'Credit card (automatic)',Yes
62,Yes,Yes,'One year','Electronic check',Yes
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
35,No,Yes,'One year','Electronic check',No
17,Yes,No,Month-to-month,'Credit card (automatic)',Yes
72,Yes,Yes,'Two year','Electronic check',No
28,'No internet service','No internet service','One year','Mailed check',No
